Index,Word,Usage,Word Length
1,water,201,5
2,would,176,5
3,example,147,7
4,being,124,5
5,study,118,5
6,think,116,5
7,learn,102,5
8,place,98,5
9,become,97,6
10,number,97,6
11,start,96,5
12,field,95,5
13,process,85,7
14,include,80,7
15,experience,80,10
16,thank,78,5
17,point,74,5
18,value,70,5
19,market,69,6
20,provide,68,7
21,guide,68,5
22,change,67,6
23,interest,67,8
24,create,63,6
25,state,63,5
26,radio,62,5
27,course,61,6
28,company,60,7
29,price,60,5
30,understand,59,10
31,trade,58,5
32,consider,57,8
33,group,55,5
34,force,54,5
35,light,54,5
36,school,53,6
37,amount,51,6
38,order,51,5
39,practice,51,8
40,research,51,8
41,sense,51,5
42,service,51,7
43,piece,50,5
44,choose,49,6
45,develop,49,7
46,check,49,5
47,sport,48,5
48,remember,46,8
49,increase,45,8
50,answer,45,6
51,sound,45,5
52,focus,44,5
53,matter,44,6
54,guard,42,5
55,offer,42,5
56,board,42,5
57,picture,42,7
58,travel,41,6
59,access,41,6
60,garden,41,6
61,range,41,5
62,reason,41,6
63,determine,40,9
64,according,40,9
65,demand,39,6
66,exercise,39,8
67,image,39,5
68,cause,38,5
69,coast,38,5
70,dance,37,5
71,excuse,37,6
72,record,37,6
73,result,37,6
74,section,37,7
75,building,36,8
76,mouse,36,5
77,allow,35,5
78,class,35,5
79,store,35,5
80,supply,34,6
81,purchase,34,8
82,involved,34,8
83,space,33,5
84,weather,32,7
85,bring,31,5
86,improve,31,7
87,produce,31,7
88,search,31,6
89,figure,31,6
90,model,31,5
91,source,31,6
92,maintain,30,8
93,spend,30,5
94,upset,30,5
95,earth,30,5
96,program,30,7
97,begin,29,5
98,design,29,6
99,feature,29,7
100,purpose,29,7
101,question,29,8
102,exist,28,5
103,drive,28,5
104,support,28,7
105,birth,28,5
106,object,28,6
107,scale,28,5
108,enjoy,27,5
109,perform,27,7
110,remove,27,6
111,return,27,6
112,profit,27,6
113,related,27,7
114,speed,27,5
115,style,27,5
116,appropriate,26,11
117,reserve,26,7
118,content,26,7
119,craft,26,5
120,decide,25,6
121,identify,25,8
122,leave,25,5
123,reach,25,5
124,serve,25,5
125,watch,25,5
126,exchange,25,8
127,position,25,8
128,pressure,25,8
129,stress,25,6
130,continue,24,8
131,protect,24,7
132,require,24,7
133,charge,24,6
134,advantage,24,9
135,benefit,24,7
136,complete,24,8
137,frame,24,5
138,issue,24,5
139,limited,24,7
140,occur,23,5
141,write,23,5
142,break,23,5
143,visit,23,5
144,cycle,23,5
145,interested,23,10
146,metal,23,5
147,paint,23,5
148,review,23,6
149,screen,23,6
150,structure,23,9
151,approach,22,8
152,avoid,22,5
153,prepare,22,7
154,affect,22,6
155,cover,22,5
156,report,22,6
157,account,22,7
158,concerned,22,9
159,discipline,22,10
160,ready,22,5
161,share,22,5
162,build,21,5
163,balance,21,7
164,black,21,5
165,bottom,21,6
166,impact,21,6
167,machine,21,7
168,shape,21,5
169,achieve,20,7
170,believe,20,7
171,receive,20,7
172,address,20,7
173,average,20,7
174,career,20,6
175,culture,20,7
176,table,20,5
177,discuss,19,7
178,realize,19,7
179,teach,19,5
180,condition,19,9
181,contact,19,7
182,credit,19,6
183,network,19,7
184,separate,19,8
185,contain,18,7
186,follow,18,6
187,refer,18,5
188,solve,18,5
189,concern,18,7
190,attempt,18,7
191,effect,18,6
192,perfect,18,7
193,voice,18,5
194,describe,17,8
195,prefer,17,6
196,prevent,17,7
197,stand,17,5
198,challenge,17,9
199,friend,17,6
200,discover,16,8
201,ensure,16,6
202,expect,16,6
203,invest,16,6
204,reduce,16,6
205,speak,16,5
206,listen,16,6
207,worry,16,5
208,brush,16,5
209,couple,16,6
210,debate,16,6
211,experienced,16,11
212,function,16,8
213,plant,16,5
214,summer,16,6
215,taste,16,5
216,theme,16,5
217,track,16,5
218,appear,15,6
219,explain,15,7
220,explore,15,7
221,involve,15,7
222,express,15,7
223,handle,15,6
224,release,15,7
225,brain,15,5
226,button,15,6
227,click,15,5
228,correct,15,7
229,desire,15,6
230,fixed,15,5
231,influence,15,9
232,notice,15,6
233,afford,14,6
234,agree,14,5
235,remain,14,6
236,represent,14,9
237,finish,14,6
238,press,14,5
239,spread,14,6
240,spring,14,6
241,damage,14,6
242,distance,14,8
243,staff,14,5
244,sugar,14,5
245,target,14,6
246,apply,13,5
247,forget,13,6
248,recommend,13,9
249,display,13,7
250,shoot,13,5
251,touch,13,5
252,author,13,6
253,complicated,13,11
254,discount,13,8
255,ground,13,6
256,lesson,13,6
257,officer,13,7
258,phase,13,5
259,reference,13,9
260,register,13,8
261,secure,13,6
262,stage,13,5
263,stick,13,5
264,title,13,5
265,trouble,13,7
266,generate,12,8
267,obtain,12,6
268,cancel,12,6
269,select,12,6
270,advanced,12,8
271,bridge,12,6
272,campaign,12,8
273,evidence,12,8
274,letter,12,6
275,option,12,6
276,organized,12,9
277,quarter,12,7
278,weight,12,6
279,accept,11,6
280,communicate,11,11
281,complain,11,8
282,depend,11,6
283,enter,11,5
284,happen,11,6
285,indicate,11,8
286,suggest,11,7
287,survive,11,7
288,conflict,11,8
289,pitch,11,5
290,treat,11,5
291,carry,11,5
292,exact,11,5
293,factor,11,6
294,fruit,11,5
295,muscle,11,6
296,traffic,11,7
297,appreciate,10,10
298,compare,10,7
299,imagine,10,7
300,manage,10,6
301,abuse,10,5
302,deposit,10,7
303,print,10,5
304,raise,10,5
305,sleep,10,5
306,appeal,10,6
307,chart,10,5
308,season,10,6
309,spirit,10,6
310,differ,9,6
311,encourage,9,9
312,expand,9,6
313,prove,9,5
314,react,9,5
315,recognize,9,9
316,relax,9,5
317,replace,9,7
318,advance,9,7
319,connect,9,7
320,consist,9,7
321,contribute,9,10
322,bench,9,5
323,closed,9,6
324,commission,9,10
325,frequent,9,8
326,progress,9,8
327,project,9,7
328,stuff,9,5
329,ticket,9,6
330,borrow,8,6
331,emphasize,8,9
332,enable,8,6
333,operate,8,7
334,reflect,8,7
335,attack,8,6
336,claim,8,5
337,drink,8,5
338,guess,8,5
339,wonder,8,6
340,angle,8,5
341,breakfast,8,9
342,doctor,8,6
343,dream,8,5
